symbol,name,type,currency,inception_date,sector,industry
MSI,Motorola Solutions,COMPANY,USD,,Information Technology,Communications Equipment
MTB,M&T Bank,COMPANY,USD,2004-02-23,Financials,Regional Banks
MTD,Mettler Toledo,COMPANY,USD,2016-09-06,Health Care,Life Sciences Tools & Services
MU,Micron Technology,COMPANY,USD,1994-09-27,Information Technology,Semiconductors
MXIM,Maxim Integrated,COMPANY,USD,2018-12-03,Information Technology,Semiconductors
NCLH,Norwegian Cruise Line Holdings,COMPANY,USD,2017-10-13,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NDAQ,Nasdaq,COMPANY,USD,2008-10-22,Financials,Financial Exchanges & Data
NEE,NextEra Energy,COMPANY,USD,1976-06-30,Utilities,Multi-Utilities
NEM,Newmont,COMPANY,USD,1969-06-30,Materials,Gold
NFLX,Netflix,COMPANY,USD,2010-12-20,Communication Services,Movies & Entertainment
NI,NiSource,COMPANY,USD,,Utilities,Multi-Utilities
NKE,Nike,COMPANY,USD,1988-11-30,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NLOK,NortonLifeLock,COMPANY,USD,2003-03-25,Information Technology,Application Software
NLSN,Nielsen Holdings,COMPANY,USD,2013-07-09,Industrials,Research & Consulting Services
NOC,Northrop Grumman,COMPANY,USD,1985-06-30,Industrials,Aerospace & Defense
NOV,Nov,COMPANY,USD,2005-03-14,Energy,Oil & Gas Equipment & Services
NOW,ServiceNow,COMPANY,USD,2019-11-21,Information Technology,Systems Software
NRG,NRG Energy,COMPANY,USD,2010-01-29,Utilities,Independent Power Producers & Energy Traders
NSC,Norfolk Southern,COMPANY,USD,1957-03-04,Industrials,Railroads
NTAP,NetApp,COMPANY,USD,1999-06-25,Information Technology,"Technology Hardware, Storage & Peripherals"
NTRS,Northern Trust,COMPANY,USD,,Financials,Asset Management & Custody Banks
NUE,Nucor,COMPANY,USD,1985-04-30,Materials,Steel
NVDA,Nvidia,COMPANY,USD,2001-11-30,Information Technology,Semiconductors
NVR,NVR,COMPANY,USD,2019-09-26,Consumer Discretionary,Homebuilding
NWL,Newell Brands,COMPANY,USD,1989-04-30,Consumer Discretionary,Housewares & Specialties
NWS,News Corp (Class B),COMPANY,USD,2015-09-18,Communication Services,Publishing
NWSA,News Corp (Class A),COMPANY,USD,2013-08-01,Communication Services,Publishing
NXPI,NXP,COMPANY,USD,2021-03-22,Information Technology,Semiconductors
O,Realty Income Corporation,COMPANY,USD,2015-04-07,Real Estate,Retail REITs
ODFL,Old Dominion Freight Line,COMPANY,USD,2019-12-09,Industrials,Trucking
OGN,Organon & Co.,COMPANY,USD,2021-06-03,Health Care,Pharmaceuticals
OKE,Oneok,COMPANY,USD,2010-03-15,Energy,Oil & Gas Storage & Transportation
OMC,Omnicom Group,COMPANY,USD,,Communication Services,Advertising
ORCL,Oracle,COMPANY,USD,1989-08-31,Information Technology,Application Software
ORLY,O'Reilly Automotive,COMPANY,USD,2009-03-27,Consumer Discretionary,Specialty Stores
OTIS,Otis Worldwide,COMPANY,USD,2020-04-03,Industrials,Industrial Machinery
OXY,Occidental Petroleum,COMPANY,USD,1982-12-31,Energy,Oil & Gas Exploration & Production
PATH,UiPath Inc,COMPANY,USD,2021-04-21,Information Technology,Software
PAYC,Paycom,COMPANY,USD,2020-01-28,Information Technology,Application Software
PAYX,Paychex,COMPANY,USD,,Information Technology,Data Processing & Outsourced Services
PBCT,People's United Financial,COMPANY,USD,2008-11-13,Financials,Thrifts & Mortgage Finance
PCAR,Paccar,COMPANY,USD,1980-12-31,Industrials,Construction Machinery & Heavy Trucks
PEAK,Healthpeak Properties,COMPANY,USD,2008-03-31,Real Estate,Health Care REITs
PEG,Public Service Enterprise Group,COMPANY,USD,1957-03-04,Utilities,Electric Utilities
PENN,Penn National Gaming,COMPANY,USD,2021-03-22,Consumer Discretionary,Casinos & Gaming
PEP,PepsiCo,COMPANY,USD,1957-03-04,Consumer Staples,Soft Drinks
PFE,Pfizer,COMPANY,USD,1957-03-04,Health Care,Pharmaceuticals
PFG,Principal Financial Group,COMPANY,USD,2002-07-22,Financials,Life & Health Insurance
PG,Procter & Gamble,COMPANY,USD,1957-03-04,Consumer Staples,Personal Products
PGR,Progressive Corporation,COMPANY,USD,1997-08-04,Financials,Property & Casualty Insurance
PH,Parker-Hannifin,COMPANY,USD,1985-11-30,Industrials,Industrial Machinery
PHM,PulteGroup,COMPANY,USD,1984-04-30,Consumer Discretionary,Homebuilding
PKG,Packaging Corporation of America,COMPANY,USD,2017-07-26,Materials,Paper Packaging
PKI,PerkinElmer,COMPANY,USD,1985-05-31,Health Care,Health Care Equipment
PLD,Prologis,COMPANY,USD,2003-07-17,Real Estate,Industrial REITs
PM,Philip Morris International,COMPANY,USD,2008-03-31,Consumer Staples,Tobacco
PNC,PNC Financial Services,COMPANY,USD,1988-04-30,Financials,Regional Banks
PNR,Pentair,COMPANY,USD,2012-10-01,Industrials,Industrial Machinery
PNW,Pinnacle West Capital,COMPANY,USD,,Utilities,Multi-Utilities
POOL,Pool Corporation,COMPANY,USD,2020-10-07,Consumer Discretionary,Distributors
PPG,PPG Industries,COMPANY,USD,1957-03-04,Materials,Specialty Chemicals
PPL,PPL,COMPANY,USD,,Utilities,Electric Utilities
PRGO,Perrigo,COMPANY,USD,2011-12-19,Health Care,Pharmaceuticals
PRU,Prudential Financial,COMPANY,USD,2002-07-22,Financials,Life & Health Insurance
PSA,Public Storage,COMPANY,USD,2005-08-19,Real Estate,Specialized REITs
PSX,Phillips 66,COMPANY,USD,2012-05-01,Energy,Oil & Gas Refining & Marketing
PTC,PTC,COMPANY,USD,2021-04-20,Information Technology,Application Software
PVH,PVH,COMPANY,USD,2013-02-15,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
PWR,Quanta Services,COMPANY,USD,2009-07-01,Industrials,Construction & Engineering
PXD,Pioneer Natural Resources,COMPANY,USD,2008-09-24,Energy,Oil & Gas Exploration & Production
PYPL,PayPal,COMPANY,USD,2015-07-20,Information Technology,Data Processing & Outsourced Services
QCOM,Qualcomm,COMPANY,USD,,Information Technology,Semiconductors
QRVO,Qorvo,COMPANY,USD,2015-06-11,Information Technology,Semiconductors
RCL,Royal Caribbean Group,COMPANY,USD,2014-12-05,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RE,Everest Re,COMPANY,USD,2017-06-19,Financials,Reinsurance
REG,Regency Centers,COMPANY,USD,2017-03-02,Real Estate,Retail REITs
REGN,Regeneron Pharmaceuticals,COMPANY,USD,2013-05-01,Health Care,Biotechnology
RF,Regions Financial Corporation,COMPANY,USD,1998-08-28,Financials,Regional Banks
RHI,Robert Half International,COMPANY,USD,2000-12-05,Industrials,Human Resource & Employment Services
RJF,Raymond James Financial,COMPANY,USD,2017-03-20,Financials,Investment Banking & Brokerage
RL,Ralph Lauren Corporation,COMPANY,USD,2007-02-02,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RMD,ResMed,COMPANY,USD,2017-07-26,Health Care,Health Care Equipment
ROK,Rockwell Automation,COMPANY,USD,,Industrials,Electrical Components & Equipment
ROL,Rollins,COMPANY,USD,2018-10-01,Industrials,Environmental & Facilities Services
ROP,Roper Technologies,COMPANY,USD,2009-12-23,Industrials,Industrial Conglomerates
ROST,Ross Stores,COMPANY,USD,2009-12-21,Consumer Discretionary,Apparel Retail
RSG,Republic Services,COMPANY,USD,2008-12-05,Industrials,Environmental & Facilities Services
RTX,Raytheon Technologies,COMPANY,USD,,Industrials,Aerospace & Defense
SBAC,SBA Communications,COMPANY,USD,2017-09-01,Real Estate,Specialized REITs
SBUX,Starbucks,COMPANY,USD,,Consumer Discretionary,Restaurants
SCHW,Charles Schwab Corporation,COMPANY,USD,1997-06-02,Financials,Investment Banking & Brokerage
SEE,Sealed Air,COMPANY,USD,1957-03-04,Materials,Paper Packaging
SHW,Sherwin-Williams,COMPANY,USD,1964-06-30,Materials,Specialty Chemicals
SIVB,SVB Financial,COMPANY,USD,2018-03-19,Financials,Regional Banks
SJM,JM Smucker,COMPANY,USD,2008-11-06,Consumer Staples,Packaged Foods & Meats
SLB,Schlumberger,COMPANY,USD,1965-03-31,Energy,Oil & Gas Equipment & Services
SNA,Snap-on,COMPANY,USD,1982-09-30,Industrials,Industrial Machinery
SNPS,Synopsys,COMPANY,USD,2017-03-16,Information Technology,Application Software
SO,Southern Company,COMPANY,USD,1957-03-04,Utilities,Electric Utilities
SPG,Simon Property Group,COMPANY,USD,2002-06-26,Real Estate,Retail REITs
SPGI,S&P Global,COMPANY,USD,,Financials,Financial Exchanges & Data
SRE,Sempra Energy,COMPANY,USD,,Utilities,Multi-Utilities
STE,Steris,COMPANY,USD,2019-12-23,Health Care,Health Care Equipment
STT,State Street Corporation,COMPANY,USD,,Financials,Asset Management & Custody Banks
STX,Seagate Technology,COMPANY,USD,2012-07-02,Information Technology,"Technology Hardware, Storage & Peripherals"
STZ,Constellation Brands,COMPANY,USD,2005-07-01,Consumer Staples,Distillers & Vintners
SWK,Stanley Black & Decker,COMPANY,USD,1982-09-30,Industrials,Industrial Machinery
SWKS,Skyworks Solutions,COMPANY,USD,2015-03-12,Information Technology,Semiconductors
SYF,Synchrony Financial,COMPANY,USD,2015-11-18,Financials,Consumer Finance
SYK,Stryker Corporation,COMPANY,USD,2000-12-12,Health Care,Health Care Equipment
SYY,Sysco,COMPANY,USD,1986-12-31,Consumer Staples,Food Distributors
T,AT&T,COMPANY,USD,1983-11-30,Communication Services,Integrated Telecommunication Services
TAP,Molson Coors Beverage Company,COMPANY,USD,1976-06-30,Consumer Staples,Brewers
TDG,TransDigm Group,COMPANY,USD,2016-06-03,Industrials,Aerospace & Defense
TDY,Teledyne Technologies,COMPANY,USD,2020-06-22,Industrials,Aerospace & Defense
TEL,TE Connectivity,COMPANY,USD,2011-10-17,Information Technology,Electronic Manufacturing Services
TER,Teradyne,COMPANY,USD,2020-09-21,Information Technology,Semiconductor Equipment
TFC,Truist Financial,COMPANY,USD,1997-12-04,Financials,Regional Banks
TFX,Teleflex,COMPANY,USD,2019-01-18,Health Care,Health Care Equipment
TGT,Target Corporation,COMPANY,USD,1976-12-31,Consumer Discretionary,General Merchandise Stores
TJX,TJX Companies,COMPANY,USD,1985-09-30,Consumer Discretionary,Apparel Retail
TMO,Thermo Fisher Scientific,COMPANY,USD,2004-08-03,Health Care,Life Sciences Tools & Services
TMUS,T-Mobile US,COMPANY,USD,2019-07-15,Communication Services,Wireless Telecommunication Services
TPR,Tapestry,COMPANY,USD,,Consumer Discretionary,"Apparel, accessories & Luxury Goods"
TRMB,Trimble,COMPANY,USD,2021-01-21,Information Technology,Electronic Equipment & Instruments
TROW,T. Rowe Price,COMPANY,USD,,Financials,Asset Management & Custody Banks
TRV,The Travelers Companies,COMPANY,USD,2002-08-21,Financials,Property & Casualty Insurance
TSCO,Tractor Supply Company,COMPANY,USD,2014-01-24,Consumer Discretionary,Specialty Stores
TSLA,Tesla,COMPANY,USD,2020-12-21,Consumer Discretionary,Automobile Manufacturers
TSN,Tyson Foods,COMPANY,USD,,Consumer Staples,Packaged Foods & Meats
TT,Trane Technologies,COMPANY,USD,2010-11-17,Industrials,Building Products
TTWO,Take-Two Interactive,COMPANY,USD,2018-03-19,Communication Services,Interactive Home Entertainment
TWTR,Twitter,COMPANY,USD,2018-06-07,Communication Services,Interactive Media & Services
TXN,Texas Instruments,COMPANY,USD,,Information Technology,Semiconductors
TXT,Textron,COMPANY,USD,1978-12-31,Industrials,Aerospace & Defense
TYL,Tyler Technologies,COMPANY,USD,2020-06-22,Information Technology,Application Software
UA,Under Armour (Class C),COMPANY,USD,2016-04-08,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UAA,Under Armour (Class A),COMPANY,USD,2014-05-01,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UAL,United Airlines,COMPANY,USD,2015-09-03,Industrials,Airlines
UDR,UDR,COMPANY,USD,2016-03-07,Real Estate,Residential REITs
UHS,Universal Health Services,COMPANY,USD,2014-09-20,Health Care,Health Care Facilities
ULTA,Ulta Beauty,COMPANY,USD,2016-04-18,Consumer Discretionary,Specialty Stores
UNH,UnitedHealth Group,COMPANY,USD,1994-07-01,Health Care,Managed Health Care
UNM,Unum Group,COMPANY,USD,1994-03-01,Financials,Life & Health Insurance
UNP,Union Pacific,COMPANY,USD,1957-03-04,Industrials,Railroads
UPS,United Parcel Service,COMPANY,USD,2002-07-22,Industrials,Air Freight & Logistics
URI,United Rentals,COMPANY,USD,2014-09-20,Industrials,Trading Companies & Distributors
USB,US Bancorp,COMPANY,USD,,Financials,Diversified Banks
V,Visa,COMPANY,USD,2009-12-21,Information Technology,Data Processing & Outsourced Services
VFC,VF Corporation,COMPANY,USD,1979-06-30,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VIAC,ViacomCBS,COMPANY,USD,,Communication Services,Movies & Entertainment
VLO,Valero Energy,COMPANY,USD,,Energy,Oil & Gas Refining & Marketing
VMC,Vulcan Materials,COMPANY,USD,1999-06-30,Materials,Construction Materials
VNO,Vornado Realty Trust,COMPANY,USD,,Real Estate,Office REITs
VRSK,Verisk Analytics,COMPANY,USD,2015-10-08,Industrials,Research & Consulting Services
VRSN,Verisign,COMPANY,USD,2006-02-01,Information Technology,Internet Services & Infrastructure
VRTX,Vertex Pharmaceuticals,COMPANY,USD,2013-09-23,Health Care,Biotechnology
VTR,Ventas,COMPANY,USD,2009-03-04,Real Estate,Health Care REITs
VTRS,Viatris,COMPANY,USD,2004-04-23,Health Care,Pharmaceuticals
VZ,Verizon Communications,COMPANY,USD,1983-11-30,Communication Services,Integrated Telecommunication Services
WAB,Wabtec,COMPANY,USD,2019-02-27,Industrials,Construction Machinery & Heavy Trucks
WAT,Waters Corporation,COMPANY,USD,,Health Care,Health Care Distributors
WBA,Walgreens Boots Alliance,COMPANY,USD,1979-12-31,Consumer Staples,Drug Retail
WDC,Western Digital,COMPANY,USD,2009-07-01,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,WEC Energy Group,COMPANY,USD,2008-10-31,Utilities,Electric Utilities
WELL,Welltower,COMPANY,USD,2009-01-30,Real Estate,Health Care REITs
WFC,Wells Fargo,COMPANY,USD,1976-06-30,Financials,Diversified Banks
WHR,Whirlpool Corporation,COMPANY,USD,,Consumer Discretionary,Household Appliances
WLTW,Willis Towers Watson,COMPANY,USD,2016-01-05,Financials,Insurance Brokers
WM,Waste Management,COMPANY,USD,,Industrials,Environmental & Facilities Services
WMB,Williams Companies,COMPANY,USD,1975-03-31,Energy,Oil & Gas Storage & Transportation
WMT,Walmart,COMPANY,USD,1982-08-31,Consumer Staples,Hypermarkets & Super Centers
WRB,W. R. Berkley Corporation,COMPANY,USD,2019-12-05,Financials,Property & Casualty Insurance
WRK,WestRock,COMPANY,USD,,Materials,Paper Packaging
WST,West Pharmaceutical Services,COMPANY,USD,2020-05-22,Health Care,Health Care Supplies
WU,Western Union,COMPANY,USD,2006-09-29,Information Technology,Data Processing & Outsourced Services
WY,Weyerhaeuser,COMPANY,USD,,Real Estate,Specialized REITs
WYNN,Wynn Resorts,COMPANY,USD,2008-11-14,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,COMPANY,USD,1957-03-04,Utilities,Multi-Utilities
XLNX,Xilinx,COMPANY,USD,1999-11-08,Information Technology,Semiconductors
XOM,ExxonMobil,COMPANY,USD,1957-03-04,Energy,Integrated Oil & Gas
XRAY,Dentsply Sirona,COMPANY,USD,2008-11-14,Health Care,Health Care Supplies
XYL,Xylem,COMPANY,USD,2011-11-01,Industrials,Industrial Machinery
YUM,Yum! Brands,COMPANY,USD,1997-10-06,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet,COMPANY,USD,2001-08-07,Health Care,Health Care Equipment
ZBRA,Zebra Technologies,COMPANY,USD,2019-12-23,Information Technology,Electronic Equipment & Instruments
ZION,Zions Bancorp,COMPANY,USD,2001-06-22,Financials,Regional Banks
ZTS,Zoetis,COMPANY,USD,2013-06-21,Health Care,Pharmaceuticals
