symbol,name,type,currency,inception_date,sector,industry
ALK,Alaska Air Group,COMPANY,USD,2016-05-13,Industrials,Airlines
ALL,Allstate Corp,COMPANY,USD,1995-07-13,Financials,Property & Casualty Insurance
ALLE,Allegion,COMPANY,USD,2013-12-02,Industrials,Building Products
ALXN,Alexion Pharmaceuticals,COMPANY,USD,2012-05-25,Health Care,Pharmaceuticals
AMAT,Applied Materials,COMPANY,USD,1995-03-16,Information Technology,Semiconductor Equipment
AMCR,Amco,COMPANY,USD,2019-06-07,Materials,Paper Packaging
AMD,Advanced Micro Devices,COMPANY,USD,,Information Technology,Semiconductors
AME,Ametek,COMPANY,USD,2013-09-23,Industrials,Electrical Components & Equipment
AMGN,Amgen,COMPANY,USD,1992-01-02,Health Care,Biotechnology
AMP,Ameriprise Financial,COMPANY,USD,2005-10-03,Financials,Asset Management & Custody Banks
AMT,American Tower,COMPANY,USD,2007-11-19,Real Estate,Specialized REITs
AMZN,Amazon,COMPANY,USD,2005-11-18,Consumer Discretionary,Internet & Direct Marketing Retail
ANET,Arista Networks,COMPANY,USD,2018-08-28,Information Technology,Communications Equipment
ANSS,Ansys,COMPANY,USD,2017-06-19,Information Technology,Application Software
ANTM,Anthem,COMPANY,USD,2002-07-25,Health Care,Managed Health Care
AON,Aon,COMPANY,USD,1996-04-23,Financials,Insurance Brokers
AOS,AO Smith,COMPANY,USD,2017-07-26,Industrials,Building Products
APA,APA Corporation,COMPANY,USD,1997-07-28,Energy,Oil & Gas Exploration & Production
APD,Air Products & Chemicals,COMPANY,USD,1985-04-30,Materials,Industrial Gases
APH,Amphenol Corp,COMPANY,USD,2008-09-30,Information Technology,Electronic Components
APTV,Aptiv,COMPANY,USD,2012-12-24,Consumer Discretionary,Auto Parts & Equipment
ARE,Alexandria Real Estate Equities,COMPANY,USD,2017-03-20,Real Estate,Office REITs
ATO,Atmos Energy,COMPANY,USD,2019-02-15,Utilities,Gas Utilities
ATVI,Activision Blizzard,COMPANY,USD,2015-08-31,Communication Services,Interactive Home Entertainment
AVB,AvalonBay Communities,COMPANY,USD,2007-01-10,Real Estate,Residential REITs
AVGO,Broadcom,COMPANY,USD,2014-05-08,Information Technology,Semiconductors
AVY,Avery Dennison,COMPANY,USD,1987-12-31,Materials,Paper Packaging
AWK,American Water Works,COMPANY,USD,2016-03-04,Utilities,Water Utilities
AXP,American Express,COMPANY,USD,1976-06-30,Financials,Consumer Finance
AZO,AutoZone,COMPANY,USD,1997-01-02,Consumer Discretionary,Specialty Stores
BA,Boeing Company,COMPANY,USD,1957-03-04,Industrials,Aerospace & Defense
BAC,Bank of America,COMPANY,USD,1976-06-30,Financials,Diversified Banks
BAX,Baxter International,COMPANY,USD,1972-09-30,Health Care,Health Care Equipment
BBY,Best Buy,COMPANY,USD,1999-06-29,Consumer Discretionary,Computer & Electronics Retail
BDX,Becton Dickinson,COMPANY,USD,1972-09-30,Health Care,Health Care Equipment
BEN,Franklin Resources,COMPANY,USD,,Financials,Asset Management & Custody Banks
BF.B,Brown-Forman,COMPANY,USD,1982-10-31,Consumer Staples,Distillers & Vintners
BIIB,Biogen,COMPANY,USD,2003-11-13,Health Care,Biotechnology
BIO,Bio-Rad Laboratories,COMPANY,USD,2020-06-22,Health Care,Life Sciences Tools & Services
BK,BNY Mellon,COMPANY,USD,1995-03-31,Financials,Asset Management & Custody Banks
BKNG,Booking Holdings,COMPANY,USD,2009-11-06,Consumer Discretionary,Internet & Direct Marketing Retail
BKR,Baker Hughes,COMPANY,USD,2017-07-07,Energy,Oil & Gas Equipment & Services
BLK,BlackRock,COMPANY,USD,2011-04-04,Financials,Asset Management & Custody Banks
BLL,Ball Corp,COMPANY,USD,1984-10-31,Materials,Metal & Glass Containers
BMY,Bristol-Myers Squibb,COMPANY,USD,1957-03-04,Health Care,Health Care Distributors
BR,Broadridge Financial Solutions,COMPANY,USD,2018-06-18,Information Technology,Data Processing & Outsourced Services
BRK.B,Berkshire Hathaway,COMPANY,USD,2010-02-16,Financials,Multi-Sector Holdings
BSX,Boston Scientific,COMPANY,USD,1995-02-24,Health Care,Health Care Equipment
BWA,BorgWarner,COMPANY,USD,2011-12-19,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,COMPANY,USD,2006-04-03,Real Estate,Office REITs
C,Citigroup,COMPANY,USD,1988-05-31,Financials,Diversified Banks
CAG,Conagra Brands,COMPANY,USD,1983-08-31,Consumer Staples,Packaged Foods & Meats
CAH,Cardinal Health,COMPANY,USD,1997-05-27,Health Care,Health Care Distributors
CARR,Carrier Global,COMPANY,USD,2020-04-03,Industrials,Building Products
CAT,Caterpillar,COMPANY,USD,1957-03-04,Industrials,Construction Machinery & Heavy Trucks
CB,Chubb,COMPANY,USD,2010-07-15,Financials,Property & Casualty Insurance
CBOE,Cboe Global Markets,COMPANY,USD,2017-03-01,Financials,Financial Exchanges & Data
CBRE,CBRE,COMPANY,USD,2006-11-10,Real Estate,Real Estate Services
CCI,Crown Castle,COMPANY,USD,2012-03-14,Real Estate,Specialized REITs
CCL,Carnival Corporation,COMPANY,USD,1998-12-22,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDNS,Cadence Design Systems,COMPANY,USD,2017-09-18,Information Technology,Application Software
CDW,CDW,COMPANY,USD,2019-09-23,Information Technology,Technology Distributors
CE,Celanese,COMPANY,USD,2018-12-24,Materials,Specialty Chemicals
CERN,Cerner,COMPANY,USD,2010-04-30,Health Care,Health Care Technology
CF,CF Industries,COMPANY,USD,2008-08-27,Materials,Fertilizers & Agricultural Chemicals
CFG,Citizens Financial Group,COMPANY,USD,2016-01-29,Financials,Regional Banks
CHD,Church & Dwight,COMPANY,USD,2015-12-29,Consumer Staples,Household Products
CHRW,C. H. Robinson,COMPANY,USD,2007-03-02,Industrials,Air Freight & Logistics
CHTR,Charter Communications,COMPANY,USD,2016-09-08,Communication Services,Cable & Satellite
CI,Cigna,COMPANY,USD,1976-06-30,Health Care,Managed Health Care
CINF,Cincinnati Financial,COMPANY,USD,1997-12-18,Financials,Property & Casualty Insurance
CL,Colgate-Palmolive,COMPANY,USD,1957-03-04,Consumer Staples,Household Products
CLX,Clorox,COMPANY,USD,1969-03-31,Consumer Staples,Household Products
CMA,Comerica,COMPANY,USD,1995-12-01,Financials,Diversified Banks
CMCSA,Comcast,COMPANY,USD,2002-11-19,Communication Services,Cable & Satellite
CME,CME Group,COMPANY,USD,2006-08-11,Financials,Financial Exchanges & Data
CMG,Chipotle Mexican Grill,COMPANY,USD,2011-04-28,Consumer Discretionary,Restaurants
CMI,Cummins,COMPANY,USD,1965-03-31,Industrials,Industrial Machinery
CMS,CMS Energy,COMPANY,USD,1999-05-03,Utilities,Multi-Utilities
CNC,Centene Corporation,COMPANY,USD,2016-03-30,Health Care,Managed Health Care
CNP,CenterPoint Energy,COMPANY,USD,1985-07-31,Utilities,Multi-Utilities
COF,Capital One Financial,COMPANY,USD,1998-07-01,Financials,Consumer Finance
COG,Cabot Oil & Gas,COMPANY,USD,2008-06-23,Energy,Oil & Gas Exploration & Production
COO,The Cooper Companies,COMPANY,USD,2016-09-23,Health Care,Health Care Supplies
COP,ConocoPhillips,COMPANY,USD,1957-03-04,Energy,Oil & Gas Exploration & Production
COST,Costco,COMPANY,USD,1993-10-01,Consumer Staples,Hypermarkets & Super Centers
CPB,Campbell Soup,COMPANY,USD,1957-03-04,Consumer Staples,Packaged Foods & Meats
CPRT,Copart,COMPANY,USD,2018-07-02,Industrials,Diversified Support Services
CRL,Charles River Laboratories,COMPANY,USD,2021-05-14,Health Care,Life Sciences Tools & Services
CRM,Salesforce,COMPANY,USD,2008-09-15,Information Technology,Application Software
CSCO,Cisco Systems,COMPANY,USD,1993-12-01,Information Technology,Communications Equipment
CSX,CSX,COMPANY,USD,1967-09-30,Industrials,Railroads
CTAS,Cintas Corporation,COMPANY,USD,2001-03-01,Industrials,Diversified Support Services
CTLT,Catalent,COMPANY,USD,2020-09-21,Health Care,Pharmaceuticals
CTSH,Cognizant Technology Solutions,COMPANY,USD,2006-11-17,Information Technology,IT Consulting & Other Services
CTVA,Corteva,COMPANY,USD,2019-06-03,Materials,Fertilizers & Agricultural Chemicals
CTXS,Citrix Systems,COMPANY,USD,1999-12-01,Information Technology,Application Software
CVS,CVS Health,COMPANY,USD,1957-03-04,Health Care,Health Care Services
CVX,Chevron Corporation,COMPANY,USD,1957-03-04,Energy,Integrated Oil & Gas
CZR,Caesars Entertainment,COMPANY,USD,2021-03-22,Consumer Discretionary,Casinos & Gaming
D,Dominion Energy,COMPANY,USD,,Utilities,Electric Utilities
DAL,Delta Air Lines,COMPANY,USD,2013-09-11,Industrials,Airlines
DD,DuPont,COMPANY,USD,2019-04-02,Materials,Specialty Chemicals
DE,Deere & Co.,COMPANY,USD,1957-03-04,Industrials,Agricultural & Farm Machinery
DFS,Discover Financial Services,COMPANY,USD,2007-07-02,Financials,Consumer Finance
DG,Dollar General,COMPANY,USD,2012-12-03,Consumer Discretionary,General Merchandise Stores
DGX,Quest Diagnostics,COMPANY,USD,2002-12-12,Health Care,Health Care Services
DHI,D. R. Horton,COMPANY,USD,2005-06-22,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation,COMPANY,USD,,Health Care,Health Care Equipment
DIS,The Walt Disney Company,COMPANY,USD,1976-06-30,Communication Services,Movies & Entertainment
DISCA,Discovery (Series A),COMPANY,USD,2010-03-01,Communication Services,Broadcasting
DISCK,Discovery (Series C),COMPANY,USD,2014-08-07,Communication Services,Broadcasting
DISH,Dish Network,COMPANY,USD,2017-03-13,Communication Services,Cable & Satellite
DLR,Digital Realty Trust,COMPANY,USD,2016-05-18,Real Estate,Specialized REITs
DLTR,Dollar Tree,COMPANY,USD,2011-12-19,Consumer Discretionary,General Merchandise Stores
DOV,Dover Corporation,COMPANY,USD,1985-10-31,Industrials,Industrial Machinery
DOW,Dow,COMPANY,USD,2019-04-01,Materials,Commodity Chemicals
DPZ,Domino's Pizza,COMPANY,USD,2020-05-12,Consumer Discretionary,Restaurants
DRE,Duke Realty Corp,COMPANY,USD,2017-07-26,Real Estate,Industrial REITs
DRI,Darden Restaurants,COMPANY,USD,,Consumer Discretionary,Restaurants
DTE,DTE Energy,COMPANY,USD,1957-03-04,Utilities,Multi-Utilities
DUK,Duke Energy,COMPANY,USD,1976-06-30,Utilities,Electric Utilities
DVA,DaVita,COMPANY,USD,2008-07-31,Health Care,Health Care Facilities
DVN,Devon Energy,COMPANY,USD,2000-08-30,Energy,Oil & Gas Exploration & Production
DXC,DXC Technology,COMPANY,USD,2017-04-04,Information Technology,IT Consulting & Other Services
DXCM,DexCom,COMPANY,USD,2020-05-12,Health Care,Health Care Equipment
EA,Electronic Arts,COMPANY,USD,2002-07-22,Communication Services,Interactive Home Entertainment
EBAY,eBay,COMPANY,USD,2002-07-22,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,COMPANY,USD,1989-01-31,Materials,Specialty Chemicals
ED,Consolidated Edison,COMPANY,USD,,Utilities,Electric Utilities
EFX,Equifax,COMPANY,USD,1997-06-19,Industrials,Research & Consulting Services
EIX,Edison International,COMPANY,USD,1957-03-04,Utilities,Electric Utilities
EL,Estée Lauder Companies,COMPANY,USD,2006-01-05,Consumer Staples,Personal Products
EMN,Eastman Chemical,COMPANY,USD,1994-01-01,Materials,Diversified Chemicals
EMR,Emerson Electric Company,COMPANY,USD,1965-03-31,Industrials,Electrical Components & Equipment
ENPH,Enphase Energy,COMPANY,USD,2021-01-07,Information Technology,Electronic Components
EOG,EOG Resources,COMPANY,USD,2000-11-02,Energy,Oil & Gas Exploration & Production
EQIX,Equinix,COMPANY,USD,2015-03-20,Real Estate,Specialized REITs
EQR,Equity Residential,COMPANY,USD,2001-12-03,Real Estate,Residential REITs
ES,Eversource Energy,COMPANY,USD,,Utilities,Multi-Utilities
ESS,Essex Property Trust,COMPANY,USD,2014-04-02,Real Estate,Residential REITs
ETN,Eaton Corporation,COMPANY,USD,,Industrials,Electrical Components & Equipment
ETR,Entergy,COMPANY,USD,1957-03-04,Utilities,Electric Utilities
ETSY,Etsy,COMPANY,USD,2020-09-21,Consumer Discretionary,Internet & Direct Marketing Retail
EVRG,Evergy,COMPANY,USD,2018-06-05,Utilities,Electric Utilities
EW,Edwards Lifesciences,COMPANY,USD,2011-04-01,Health Care,Health Care Equipment
EXC,Exelon,COMPANY,USD,1957-03-04,Utilities,Multi-Utilities
EXPD,Expeditors,COMPANY,USD,2007-10-10,Industrials,Air Freight & Logistics
EXPE,Expedia Group,COMPANY,USD,2007-10-02,Consumer Discretionary,Internet & Direct Marketing Retail
EXR,Extra Space Storage,COMPANY,USD,2016-01-19,Real Estate,Specialized REITs
F,Ford,COMPANY,USD,1957-03-04,Consumer Discretionary,Automobile Manufacturers
FANG,Diamondback Energy,COMPANY,USD,2018-12-03,Energy,Oil & Gas Exploration & Production
FAST,Fastenal,COMPANY,USD,2008-09-15,Industrials,Building Products
FB,Facebook,COMPANY,USD,2013-12-23,Communication Services,Interactive Media & Services
FBHS,Fortune Brands Home & Security,COMPANY,USD,2016-06-22,Industrials,Building Products
FCX,Freeport-McMoRan,COMPANY,USD,,Materials,Copper
FDX,FedEx,COMPANY,USD,1980-12-31,Industrials,Air Freight & Logistics
FE,FirstEnergy,COMPANY,USD,,Utilities,Electric Utilities
FFIV,F5 Networks,COMPANY,USD,2010-12-20,Information Technology,Communications Equipment
FIS,Fidelity National Information Services,COMPANY,USD,2006-11-10,Information Technology,Data Processing & Outsourced Services
